"VAT number","Numero IVA","module","Geissweb_Euvat"
"VAT Number","Numero IVA","module","Geissweb_Euvat"
"VAT Trader Name","Razón fiscal asociada al IVA","module","Geissweb_Euvat"
"VAT Trader Address","Dirección fiscal asociada al IVA","module","Geissweb_Euvat"
"VAT number is","El numero IVA es","module","Geissweb_Euvat"
"valid","Correcto","module","Geissweb_Euvat"
"invalid","Incorrecto","module","Geissweb_Euvat"
"VAT request success","Solicitud VAT aceptada","module","Geissweb_Euvat"
"Yes","Si","module","Geissweb_Euvat"
"No","No","module","Geissweb_Euvat"
"VAT request identifier","Identificador de solicitud IVA","module","Geissweb_Euvat"
"New customer tax classes","Categorías de impuestos para nuevos clientes","module","Geissweb_Euvat"
"Invalid requester information. Please check your merchant VAT number.","Información erronea o incompleta. Comprueba el numero IVA introducido.","module","Geissweb_Euvat"
"Currently it is not possible to validate VAT numbers from this country.","Actualmente no se puede validar números IVA de este país.","module","Geissweb_Euvat"
"The connection to the validation interface timed out. Please try again.","El tiempo de conexión para la validación ha expirado. Intentelo de nuevo.","module","Geissweb_Euvat"
"The VAT number is invalid.","El numero IVA es incorrecto.","module","Geissweb_Euvat"
"The VAT number validation service is busy.","El servicio de validación de numeros IVA esta ocupado en estos momentos.","module","Geissweb_Euvat"
"The VAT number is valid.","El numero IVA es correcto.","module","Geissweb_Euvat"
"Click here to try again.","Pulse aquí para intentarlo de nuevo.","module","Geissweb_Euvat"
"The format of the VAT number is invalid for this country.","El formato del numero IVA es incorrecto para este país.","module","Geissweb_Euvat"
"This does not seem to be a EU VAT Number.","Esto no parece ser un numero IVA de la Unión Europea.","module","Geissweb_Euvat"
"Please provide your VAT number including the country prefix.","Por favor introduzca su numero IVA y el prefijo del país en cuestión.","module","Geissweb_Euvat"
"Error during VAT number validation request.","Se ha producido un error en el proceso de validación del numero IVA.","module","Geissweb_Euvat"
"VAT number validation result","Resultado de la validación del numero IVA","module","Geissweb_Euvat"
"The country prefix of your VAT Number does not match your address country. Shall we automatically set the country?","El prefijo de su numero IVA no coincide con la dirección aportada. ¿Quiere que se seleccione automáticamente el país correspondiente?","module","Geissweb_Euvat"
"VAT Number validation interface unavailable.","Interfaz de validación de número de IVA no disponible.","module","Geissweb_Euvat"
"Please enter a VAT number to validate.","Por favor ingrese un número de IVA para validar.","module","Geissweb_Euvat"
"Registered Company Name: %s","Nombre de la empresa registrada: %s","module","Geissweb_Euvat"
"Registered Address: %s","Dirección registrada: %s","module","Geissweb_Euvat"
"Customer Group Change","Cambio de grupo de clientes","module","Geissweb_Euvat"
"A valid VAT number is required for checkout. Please edit your address to include your VAT number.","Se requiere un número de IVA válido para el pago. Edite su dirección para incluir su número de IVA.","module","Geissweb_Euvat"
